Name,Date,Location,Place,Speakers,Type(s),slides
Cursor Build Sprint: Industry Challenge,"November 7, 2026",Riyadh,,,hackathon,
Introduction to Cursor,"October 24, 2025",Riyadh,,Mazen Alotaibi,meetup,https://github.com/cursor-sa/events-slides/blob/main/2025-10-riyadh-hackathon.pdf
Kickoff,"May 28, 2025",Riyadh,,"Abdullah Mosaibah, Dan (Cursor), Mazen Alotaibi",meetup,https://github.com/cursor-sa/events-slides/blob/main/2025-05-riyadh-meetup.pdf
Build your MVP with AI!,"July 30, 2025",Riyadh,,"Faris Hijazi, Mazen Alotaibi",workshop,https://github.com/cursor-sa/events-slides/blob/main/2025-07-riyadh-workshop.pdf
Introduction to Cursor,"August 5, 2025",Khobar,,Abdulhakeem Almidan,meetup,https://www.notion.so.
Introduction to AI Tools for Game Develoeprs,"November 11, 2025",Riyadh,,Mazen Alotaibi,meetup,https://github.com/cursor-sa/events-slides/blob/main/2025-11-riyadh-ai-game.pdf
Contributing to Open Source with Cursor,"December 25, 2025",Riyadh,,"Mazen Alotaibi, Mohammed Usman",meetup,"https://github.com/cursor-sa/events-slides/blob/main/2025-12-riyadh-meetup.pdf, https://github.com/cursor-sa/events-slides/blob/main/2025-12-riyadh-meetup-guest-speaker.pdf"
The AI Dev Stack with Cursor,"January 10, 2026",Riyadh,,Mazen Alotaibi,meetup,
Cursor For Everyone: Workflows Without Coding,"April 4, 2026",Riyadh,,,meetup,
Cursor Deep Dive: How Cursor Thinks (Guest: Cursor Engineer),"March 7, 2026",Riyadh,,,meetup,
Cursor Build Sprint: Fintech MVPs,"April 4, 2026",Riyadh,,,hackathon,
Cursor Playbook: From Idea → PR in One Hour,"May 2, 2026",Riyadh,,,meetup,
Cursor Build Sprint: Tech for Good,"June 6, 2026",Riyadh,,,hackathon,
"MCPs, Tools, and Real Integrations","July 4, 2026",Riyadh,,,meetup,
"Cursor Build Sprint: Media & Entertainment Products ","August 1, 2026",Riyadh,,,hackathon,
"Cursor for Product Teams: PRDs, QA, and Shipping Rituals","September 5, 2026",Riyadh,,,meetup,
Cursor Builders: Build a Tiny MCP Server (Demo),"October 3, 2026",Riyadh,,,meetup,
